,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,sqft_basement,yard_size
17,6865200140,2014-05-29,485000.0,4,1.0,1600,4300,1.5,0.0,0.0,4,7,1600,1916,0,98103,47.6648,-122.34299999999999,1610,4300,0,2700
18,16000397,2014-12-05,189000.0,2,1.0,1200,9850,1.0,0.0,0.0,4,7,1200,1921,0,98002,47.3089,-122.21,1060,5095,0,8650
19,7983200060,2015-04-24,230000.0,3,1.0,1250,9774,1.0,0.0,0.0,4,7,1250,1969,0,98003,47.3343,-122.306,1280,8850,0,8524
20,6300500875,2014-05-14,385000.0,4,1.75,1620,4980,1.0,0.0,0.0,4,7,860,1947,0,98133,47.7025,-122.34100000000001,1400,4980,760,3360
22,7137970340,2014-07-03,285000.0,5,2.5,2270,6300,2.0,0.0,0.0,3,8,2270,1995,0,98092,47.3266,-122.169,2240,7005,0,4030
23,8091400200,2014-05-16,252700.0,2,1.5,1070,9643,1.0,0.0,0.0,3,7,1070,1985,0,98030,47.3533,-122.166,1220,8386,0,8573
24,3814700200,2014-11-20,329000.0,3,2.25,2450,6500,2.0,0.0,0.0,4,8,2450,1985,0,98030,47.3739,-122.17200000000001,2200,6865,0,4050
25,1202000200,2014-11-03,233000.0,3,2.0,1710,4697,1.5,0.0,0.0,5,6,1710,1941,0,98002,47.3048,-122.21799999999999,1030,4705,0,2987
26,1794500383,2014-06-26,937000.0,3,1.75,2450,2691,2.0,0.0,0.0,3,8,1750,1915,0,98119,47.6386,-122.36,1760,3573,700,241
27,3303700376,2014-12-01,667000.0,3,1.0,1400,1581,1.5,0.0,0.0,5,8,1400,1909,0,98112,47.6221,-122.314,1860,3861,0,181
28,5101402488,2014-06-24,438000.0,3,1.75,1520,6380,1.0,0.0,0.0,3,7,790,1948,0,98115,47.695,-122.304,1520,6235,730,4860
29,1873100390,2015-03-02,719000.0,4,2.5,2570,7173,2.0,0.0,0.0,3,8,2570,2005,0,98052,47.7073,-122.11,2630,6026,0,4603
30,8562750320,2014-11-10,580500.0,3,2.5,2320,3980,2.0,0.0,0.0,3,8,2320,2003,0,98027,47.5391,-122.07,2580,3980,0,1660
31,2426039314,2014-12-01,280000.0,2,1.5,1190,1265,3.0,0.0,0.0,3,7,1190,2005,0,98133,47.7274,-122.35700000000001,1390,1756,0,75
32,461000390,2014-06-24,687500.0,4,1.75,2330,5000,1.5,0.0,0.0,4,7,1510,1929,0,98117,47.6823,-122.368,1460,5000,820,2670
33,7589200193,2014-11-10,535000.0,3,1.0,1090,3000,1.5,0.0,0.0,4,8,1090,1929,0,98117,47.6889,-122.375,1570,5080,0,1910
34,7955080270,2014-12-03,322500.0,4,2.75,2060,6659,1.0,0.0,0.0,3,7,1280,1981,0,98058,47.4276,-122.15700000000001,2020,8720,780,4599
35,9547205180,2014-06-13,696000.0,3,2.5,2300,3060,1.5,0.0,0.0,3,8,1510,1930,1,98115,47.6827,-122.31,1590,3264,790,760
37,2768000400,2014-12-30,640000.0,4,2.0,2360,6000,2.0,0.0,0.0,4,8,2360,1904,0,98107,47.6702,-122.36200000000001,1730,4700,0,3640
38,7895500070,2015-02-13,240000.0,4,1.0,1220,8075,1.0,0.0,0.0,2,7,890,1969,0,98001,47.3341,-122.28200000000001,1290,7800,330,6855
39,2078500320,2014-06-20,605000.0,4,2.5,2620,7553,2.0,0.0,0.0,3,8,2620,1996,0,98056,47.5301,-122.18,2620,11884,0,4933
40,5547700270,2014-07-15,625000.0,4,2.5,2570,5520,2.0,0.0,0.0,3,9,2570,2000,0,98074,47.6145,-122.027,2470,5669,0,2950
42,7203220400,2014-07-07,861990.0,5,2.75,3595,5639,2.0,0.0,0.0,3,9,3595,2014,0,98053,47.6848,-122.016,3625,5639,0,2044
43,9270200160,2014-10-28,685000.0,3,1.0,1570,2280,2.0,0.0,0.0,3,7,1570,1922,0,98119,47.6413,-122.36399999999999,1580,2640,0,710
44,1432701230,2014-07-29,309000.0,3,1.0,1280,9656,1.0,0.0,0.0,4,6,920,1959,0,98058,47.4485,-122.175,1340,8808,360,8376
45,8035350320,2014-07-18,488000.0,3,2.5,3160,13603,2.0,0.0,0.0,3,8,3160,2003,0,98019,47.7443,-121.977,3050,9232,0,10443
46,8945200830,2015-03-25,210490.0,3,1.0,990,8528,1.0,0.0,0.0,3,6,990,1966,0,98023,47.3066,-122.37100000000001,1228,8840,0,7538
47,4178300310,2014-07-16,785000.0,4,2.5,2290,13416,2.0,0.0,0.0,4,9,2290,1981,0,98007,47.6194,-122.15100000000001,2680,13685,0,11126
48,9215400105,2015-04-28,450000.0,3,1.75,1250,5963,1.0,0.0,0.0,4,7,1250,1953,0,98115,47.6796,-122.301,970,5100,0,4713
50,5245600105,2014-09-16,228000.0,3,1.0,1190,9199,1.0,0.0,0.0,3,7,1190,1955,0,98148,47.4258,-122.322,1190,9364,0,8009
51,7231300125,2015-02-17,345000.0,5,2.5,3150,9134,1.0,0.0,0.0,4,8,1640,1966,0,98056,47.4934,-122.189,1990,9133,1510,5984
52,7518505990,2014-12-31,600000.0,3,1.75,1410,4080,1.0,0.0,0.0,4,7,1000,1950,0,98117,47.6808,-122.384,1410,4080,410,2670
53,3626039271,2015-02-05,585000.0,2,1.75,1980,8550,1.0,0.0,0.0,3,7,990,1981,0,98117,47.6989,-122.369,1480,6738,990,6570
54,4217401195,2015-03-03,920000.0,5,2.25,2730,6000,1.5,0.0,0.0,3,8,2130,1927,0,98105,47.6571,-122.281,2730,6000,600,3270
55,9822700295,2014-05-12,885000.0,4,2.5,2830,5000,2.0,0.0,0.0,3,9,2830,1995,0,98105,47.6597,-122.29,1950,5000,0,2170
56,9478500640,2014-08-19,292500.0,4,2.5,2250,4495,2.0,0.0,0.0,3,7,2250,2008,0,98042,47.3663,-122.11399999999999,2250,4500,0,2245
57,2799800710,2015-04-07,301000.0,3,2.5,2420,4750,2.0,0.0,0.0,3,8,2420,2003,0,98042,47.3663,-122.12200000000001,2690,4750,0,2330
58,7922800400,2014-08-27,951000.0,5,3.25,3250,14342,2.0,0.0,4.0,4,8,3250,1968,0,98008,47.588,-122.116,2960,11044,0,11092
59,8079040320,2015-02-23,430000.0,4,3.0,1850,9976,2.0,0.0,0.0,3,8,1850,1991,0,98059,47.5059,-122.149,2270,8542,0,8126
61,9558200045,2014-08-28,289000.0,3,1.75,1260,8400,1.0,0.0,0.0,3,7,1260,1954,0,98148,47.4366,-122.335,1290,8750,0,7140
62,5072410070,2014-10-21,505000.0,3,1.75,2519,8690,2.0,0.0,0.0,5,8,2519,1973,0,98166,47.4428,-122.344,2500,9500,0,6171
63,9528102996,2014-12-07,549000.0,3,1.75,1540,1044,3.0,0.0,0.0,3,8,1540,2014,0,98115,47.6765,-122.32,1580,3090,0,-496
64,1189001180,2014-06-03,425000.0,3,2.25,1660,6000,1.0,0.0,0.0,3,7,1110,1979,0,98122,47.6113,-122.29700000000001,1440,4080,550,4340
65,3253500160,2014-11-20,317625.0,3,2.75,2770,3809,1.5,0.0,0.0,5,7,1770,1925,0,98144,47.5747,-122.304,1440,4000,1000,1039
66,3394100030,2014-09-09,975000.0,4,2.5,2720,11049,2.0,0.0,0.0,3,10,2720,1989,0,98004,47.5815,-122.19200000000001,2750,11049,0,8329
67,3717000160,2014-10-09,287000.0,4,2.5,2240,4648,2.0,0.0,0.0,3,7,2240,2005,0,98001,47.3378,-122.257,2221,4557,0,2408
68,1274500060,2014-08-25,204000.0,3,1.0,1000,12070,1.0,0.0,0.0,4,7,1000,1968,0,98042,47.3621,-122.11,1010,12635,0,11070
71,1049000060,2015-01-05,325000.0,3,2.0,1260,5612,1.0,0.0,0.0,4,7,1260,1972,0,98034,47.7362,-122.179,1640,4745,0,4352
72,8820901275,2014-06-10,571000.0,4,2.0,2750,7807,1.5,0.0,0.0,5,7,2250,1916,0,98125,47.7168,-122.287,1510,7807,500,5057
73,5416510140,2014-07-10,360000.0,4,2.5,2380,5000,2.0,0.0,0.0,3,8,2380,2005,0,98038,47.3608,-122.036,2420,5000,0,2620
76,4036801170,2014-10-13,380000.0,4,1.75,1760,7300,1.0,0.0,0.0,3,7,880,1956,0,98008,47.6034,-122.125,1680,7500,880,5540
77,2391600320,2015-04-20,480000.0,3,1.0,1040,5060,1.0,0.0,0.0,3,7,1040,1941,0,98116,47.5636,-122.39399999999999,890,5060,0,4020
78,6300000287,2014-06-09,410000.0,3,1.0,1410,5060,1.0,0.0,0.0,4,7,910,1956,0,98133,47.7073,-122.34,1130,5693,500,3650
80,5104520400,2014-12-02,390000.0,3,2.5,2350,5100,2.0,0.0,0.0,3,8,2350,2003,0,98038,47.3512,-122.008,2350,5363,0,2750
81,7437100340,2014-12-22,360000.0,4,2.5,1900,5889,2.0,0.0,0.0,3,7,1900,1992,0,98038,47.349,-122.031,1870,6405,0,3989
82,9418400240,2014-10-28,355000.0,2,1.0,2020,6720,1.0,0.0,0.0,3,7,1010,1948,0,98118,47.5474,-122.291,1720,6720,1010,4700
83,1523059105,2015-01-28,356000.0,3,1.5,1680,8712,1.0,0.0,0.0,3,8,1680,1964,0,98059,47.4811,-122.149,1850,8797,0,7032
84,1133000671,2014-06-02,315000.0,3,1.0,960,6634,1.0,0.0,0.0,3,6,960,1952,0,98125,47.7264,-122.31,1570,7203,0,5674
85,4232902595,2014-11-14,940000.0,3,1.5,2140,3600,2.0,0.0,0.0,3,9,1900,1925,0,98119,47.6337,-122.365,2020,4800,240,1460
86,2599001200,2014-11-03,305000.0,5,2.25,2660,8400,1.5,0.0,0.0,5,7,2660,1961,0,98092,47.2909,-122.189,1590,8165,0,5740
87,3342103156,2014-06-18,461000.0,3,3.25,2770,6278,2.0,0.0,0.0,3,9,1980,2006,0,98056,47.5228,-122.199,1900,7349,790,3508
88,1332700270,2014-05-19,215000.0,2,2.25,1610,2040,2.0,0.0,0.0,4,7,1610,1979,0,98056,47.518,-122.194,1950,2025,0,430
89,3869900162,2014-09-04,335000.0,2,1.75,1030,1066,2.0,0.0,0.0,3,7,765,2006,0,98136,47.5394,-122.387,1030,1106,265,36
90,2791500270,2014-05-22,243500.0,4,2.5,1980,7403,2.0,0.0,0.0,3,7,1980,1988,0,98023,47.2897,-122.37200000000001,1980,7510,0,5423
91,5036300431,2015-03-11,1100000.0,5,2.75,3520,6353,2.0,0.0,0.0,4,10,3520,2001,0,98199,47.6506,-122.391,2520,6250,0,2833
92,4168000060,2015-02-26,153000.0,3,1.0,1200,10500,1.0,0.0,0.0,3,7,1200,1962,0,98023,47.321999999999996,-122.351,1350,10500,0,9300
93,6021501535,2014-07-25,430000.0,3,1.5,1580,5000,1.0,0.0,0.0,3,8,1290,1939,0,98117,47.687,-122.38600000000001,1570,4500,290,3420
94,6021501535,2014-12-23,700000.0,3,1.5,1580,5000,1.0,0.0,0.0,3,8,1290,1939,0,98117,47.687,-122.38600000000001,1570,4500,290,3420
95,1483300570,2014-09-08,905000.0,4,2.5,3300,10250,1.0,0.0,0.0,3,7,2390,1946,1,98040,47.5873,-122.249,1950,6045,910,6950
96,3422049190,2015-03-30,247500.0,3,1.75,1960,15681,1.0,0.0,0.0,3,7,1960,1967,0,98032,47.3576,-122.277,1750,15616,0,13721
97,1099611230,2014-09-12,199000.0,4,1.5,1160,6400,1.0,0.0,0.0,4,7,1160,1975,0,98023,47.3036,-122.37799999999999,1160,6400,0,5240
100,1952200240,2014-06-11,850830.0,3,2.5,2070,13241,1.5,0.0,0.0,5,9,1270,1910,0,98102,47.6415,-122.315,2200,4500,800,11171
101,5200100125,2014-10-27,555000.0,3,2.0,1980,3478,1.5,0.0,0.0,4,7,1440,1929,0,98117,47.6775,-122.37200000000001,1610,3478,540,1498
103,2450000295,2014-10-07,1090000.0,3,2.5,2920,8113,2.0,0.0,0.0,3,8,2920,1950,1,98004,47.5814,-122.196,2370,8113,0,5193
105,1328310370,2015-04-02,375000.0,3,2.5,2340,10005,1.0,0.0,0.0,4,8,1460,1978,0,98058,47.4431,-122.133,2250,8162,880,7665
106,546000875,2014-05-23,460000.0,3,1.0,1670,4005,1.5,0.0,0.0,4,7,1170,1939,0,98117,47.6878,-122.38,1240,4005,500,2335
107,3530510041,2014-07-23,188500.0,2,1.75,1240,2493,1.0,0.0,0.0,4,8,1240,1985,0,98198,47.3813,-122.322,1270,4966,0,1253
109,3134100116,2014-08-27,470000.0,5,1.75,2030,12342,2.0,0.0,0.0,4,7,2030,1942,0,98052,47.6417,-122.109,2500,9433,0,10312
110,9545230140,2014-07-25,597750.0,4,2.5,2310,9624,2.0,0.0,0.0,3,8,2310,1984,0,98027,47.5386,-122.053,1940,9636,0,7314
111,3362400511,2015-03-04,570000.0,3,1.75,1260,3328,1.0,0.0,0.0,5,6,700,1905,0,98103,47.6823,-122.34899999999999,1380,3536,560,2068
112,2525310310,2014-09-16,272500.0,3,1.75,1540,12600,1.0,0.0,0.0,4,7,1160,1980,0,98038,47.3624,-122.031,1540,11656,380,11060
113,6126500060,2014-11-24,329950.0,3,1.75,2080,5969,1.0,0.0,2.0,3,7,1080,1971,0,98108,47.5474,-122.295,2090,5500,1000,3889
114,8961960160,2014-10-28,480000.0,4,2.5,3230,16171,2.0,0.0,0.0,3,9,2520,2001,0,98001,47.3183,-122.25299999999999,2640,8517,710,12941
116,3362400431,2014-06-26,518500.0,3,3.5,1590,1102,3.0,0.0,0.0,3,8,1590,2010,0,98103,47.6824,-122.34700000000001,1620,3166,0,-488
117,4060000240,2014-06-23,205425.0,2,1.0,880,6780,1.0,0.0,0.0,4,6,880,1945,0,98178,47.5009,-122.24799999999999,1190,6780,0,5900
118,3454800060,2015-01-08,171800.0,4,2.0,1570,9600,1.0,0.0,0.0,3,6,1570,1950,0,98168,47.4965,-122.303,1880,9000,0,8030
119,1695900060,2015-05-11,535000.0,4,1.0,1610,2982,1.5,0.0,0.0,4,7,1610,1925,0,98144,47.586999999999996,-122.294,1610,4040,0,1372
120,7278700070,2015-01-02,660000.0,3,2.5,2400,6474,1.0,0.0,2.0,3,8,1560,1964,0,98177,47.7728,-122.38600000000001,2340,10856,840,4074
121,6675500070,2014-11-19,391500.0,3,2.0,1450,9132,1.0,0.0,0.0,3,7,1450,1987,0,98034,47.7288,-122.226,1580,9104,0,7682
122,3626039187,2015-04-06,395000.0,2,1.0,770,6000,1.0,0.0,0.0,3,6,770,1953,0,98117,47.6999,-122.36399999999999,1710,6000,0,5230
123,3524049083,2014-11-04,445000.0,4,1.75,2100,4400,1.5,0.0,0.0,5,7,1720,1924,0,98118,47.5299,-122.266,1850,4400,380,2300
124,3275860240,2014-06-18,770000.0,3,2.25,2910,10204,2.0,0.0,0.0,3,9,2910,1990,0,98052,47.6897,-122.098,2700,13992,0,7294
126,4058801670,2014-07-17,445000.0,3,2.25,2100,8201,1.0,0.0,2.0,3,8,1620,1967,0,98178,47.5091,-122.244,2660,8712,480,6101
127,8732020310,2014-07-17,260000.0,4,2.25,2160,8811,1.0,0.0,0.0,3,8,1360,1978,0,98023,47.3129,-122.39,2090,8400,800,6651
128,2331300505,2014-06-13,822500.0,5,3.5,2320,4960,2.0,0.0,0.0,5,7,1720,1926,0,98103,47.6763,-122.352,1700,4960,600,2640
129,7853210060,2015-04-06,430000.0,4,2.5,2070,4310,2.0,0.0,0.0,3,7,2070,2004,0,98065,47.5319,-121.85,1970,3748,0,2240
130,3668000070,2015-01-05,212000.0,3,1.75,1060,7875,1.0,0.0,0.0,4,7,1060,1986,0,98092,47.2761,-122.152,1420,7680,0,6815
131,9545240070,2015-04-28,660500.0,4,2.25,2010,9603,1.0,0.0,0.0,3,8,1440,1986,0,98027,47.5343,-122.054,2060,9793,570,7593
133,8929000270,2014-05-12,453246.0,3,2.5,2010,2287,2.0,0.0,0.0,3,8,1390,2014,0,98029,47.5517,-121.99799999999999,1690,1662,620,277
134,2767602356,2015-01-26,675000.0,4,3.5,2140,2278,3.0,0.0,0.0,3,9,2140,2005,0,98107,47.6734,-122.38,1540,2285,0,138
136,3655000070,2014-08-05,220000.0,4,1.75,2020,7840,1.0,0.0,0.0,3,7,1010,1968,0,98003,47.3309,-122.29899999999999,1750,8140,1010,5820
137,4027700812,2014-05-29,452000.0,4,2.25,2590,10002,1.0,0.0,0.0,4,8,1340,1968,0,98028,47.7689,-122.266,1550,10436,1250,7412
138,3992700335,2014-07-07,382500.0,2,1.0,1190,4440,1.0,0.0,0.0,3,6,1190,1981,0,98125,47.7135,-122.287,1060,5715,0,3250
139,2767603505,2014-05-07,519950.0,3,2.25,1170,1249,3.0,0.0,0.0,3,8,1170,2014,0,98107,47.6722,-122.381,1350,1310,0,79
140,4232901525,2014-06-27,665000.0,2,1.0,1110,3200,1.0,0.0,0.0,3,7,1110,1925,0,98119,47.6338,-122.35799999999999,1170,3600,0,2090
141,1777500060,2014-07-08,527700.0,5,2.5,2820,9375,1.0,0.0,0.0,4,8,1550,1968,0,98006,47.5707,-122.12799999999999,2820,9375,1270,6555
142,1432900240,2015-05-08,205000.0,3,1.0,1610,8579,1.0,0.0,0.0,4,7,1010,1962,0,98058,47.4563,-122.171,1610,8579,600,6969
143,6140100875,2015-04-15,420000.0,3,1.0,1060,8097,1.0,0.0,0.0,4,7,940,1923,0,98133,47.7144,-122.351,1560,7940,120,7037
144,6071600370,2015-02-27,500000.0,4,2.25,2030,8517,1.0,0.0,0.0,4,8,1380,1961,0,98006,47.5495,-122.17399999999999,2230,8824,650,6487
146,809001525,2014-06-25,890000.0,4,1.0,2550,4000,2.0,0.0,0.0,3,8,2370,1905,0,98109,47.6354,-122.353,2200,4000,180,1450
148,8075400570,2014-10-30,258000.0,5,2.0,2260,12500,1.0,0.0,0.0,4,8,1130,1960,0,98032,47.3887,-122.286,1360,18000,1130,10240
149,1994200024,2014-11-04,511000.0,3,1.0,1430,3455,1.0,0.0,0.0,3,7,980,1947,0,98103,47.6873,-122.336,1450,4599,450,2025
150,3362900810,2014-08-20,532170.0,3,2.0,1360,3090,2.0,0.0,0.0,3,8,1360,1990,0,98103,47.6838,-122.353,1500,3090,0,1730
151,1324300398,2015-04-09,560000.0,3,1.0,1110,5000,1.5,0.0,0.0,3,7,1110,1947,0,98107,47.655,-122.359,1420,5000,0,3890
152,537000445,2015-03-31,282950.0,3,1.0,1250,8200,1.0,0.0,0.0,4,7,1250,1954,0,98003,47.3255,-122.304,1680,8633,0,6950
154,7920100045,2014-05-16,350000.0,1,1.0,700,5100,1.0,0.0,0.0,3,7,700,1942,0,98115,47.678999999999995,-122.3,1010,5100,0,4400
155,8960000030,2014-07-28,215000.0,3,1.0,1180,7669,1.0,0.0,0.0,4,7,1180,1967,0,98058,47.4479,-122.176,1190,7669,0,6489
157,8731900200,2014-08-07,320000.0,4,2.75,2640,7500,1.0,0.0,0.0,3,8,1620,1967,0,98023,47.3135,-122.369,1980,7875,1020,4860
158,8029200135,2014-11-13,247000.0,3,2.0,1270,7198,1.5,0.0,0.0,3,7,1270,1916,1,98022,47.2086,-121.99600000000001,1160,7198,0,5928
159,1081200350,2014-10-03,320000.0,4,1.75,1760,11180,1.0,0.0,0.0,4,8,1760,1968,0,98059,47.4715,-122.118,1730,11180,0,9420
160,84000105,2014-05-07,255000.0,5,2.25,2060,8632,1.0,0.0,0.0,3,7,1030,1962,0,98146,47.4877,-122.335,1010,11680,1030,6572
161,3756500060,2015-03-09,438000.0,3,1.75,1780,9660,1.0,0.0,0.0,3,7,1780,1962,0,98034,47.7171,-122.193,1200,9660,0,7880
162,7215720160,2015-03-04,900000.0,3,2.5,3400,16603,2.0,0.0,0.0,3,10,3400,2000,0,98075,47.6012,-122.023,3400,12601,0,13203
163,3574800520,2014-06-20,441000.0,3,2.75,1910,7280,1.0,0.0,0.0,3,7,1160,1979,0,98034,47.7319,-122.22399999999999,1710,8152,750,5370
165,2558660270,2014-12-08,370000.0,3,1.75,1580,7000,1.0,0.0,0.0,3,7,1180,1976,0,98034,47.7209,-122.16799999999999,1640,7500,400,5420
166,2009000370,2015-02-19,269950.0,2,1.75,1340,7250,1.0,0.0,0.0,5,5,700,1949,0,98198,47.408,-122.32700000000001,1830,9750,640,5910
167,1836980160,2015-03-24,807100.0,4,2.5,2680,4499,2.0,0.0,0.0,3,9,2680,1999,0,98006,47.565,-122.125,2920,4500,0,1819
168,3261020370,2014-06-05,653000.0,3,2.5,2680,9750,1.0,0.0,0.0,4,8,1610,1979,0,98034,47.7028,-122.23100000000001,2480,8750,1070,7070
169,1755700060,2014-06-11,371500.0,3,2.0,1370,8336,1.0,0.0,0.0,5,7,1370,1964,0,98133,47.7458,-122.331,1770,7288,0,6966
171,9542800700,2015-01-02,272000.0,3,1.75,2160,7140,1.0,0.0,0.0,4,7,1670,1978,0,98023,47.3026,-122.374,1930,7350,490,4980
172,1999700045,2014-05-02,313000.0,3,1.5,1340,7912,1.5,0.0,0.0,3,7,1340,1955,0,98133,47.7658,-122.339,1480,7940,0,6572
174,1687900520,2014-09-29,673000.0,4,2.25,2590,8190,2.0,0.0,0.0,4,8,2590,1980,0,98006,47.5619,-122.125,2260,8335,0,5600
175,7234600798,2015-02-10,425000.0,3,2.5,1120,1100,2.0,0.0,0.0,3,8,820,2008,0,98122,47.6106,-122.31,1590,1795,300,-20
176,3881900445,2014-07-09,399950.0,5,2.75,1970,5400,1.0,0.0,0.0,3,7,1320,1986,0,98144,47.5868,-122.30799999999999,1280,2150,650,3430
177,2254502445,2014-05-30,385000.0,3,1.0,1220,4800,1.0,0.0,0.0,3,6,1220,1901,0,98122,47.6101,-122.307,1200,4800,0,3580
178,5437810320,2014-11-17,269950.0,3,1.5,1950,7560,1.0,0.0,2.0,4,7,1320,1975,0,98022,47.1976,-121.999,1950,8941,630,5610
179,9158100075,2015-01-07,330000.0,2,1.0,1350,8220,1.0,0.0,0.0,3,7,1060,1949,0,98177,47.7224,-122.35799999999999,1540,8280,290,6870
180,3830630310,2014-07-25,260000.0,3,2.5,1670,5797,2.0,0.0,0.0,3,7,1670,1988,0,98030,47.3505,-122.179,1670,6183,0,4127
181,8123100045,2015-04-14,470000.0,4,3.0,2380,5125,1.5,0.0,0.0,4,7,1680,1925,0,98126,47.5384,-122.376,1410,5375,700,2745
182,3127200041,2014-06-13,589000.0,4,3.0,2440,9600,2.0,0.0,0.0,5,7,2440,1961,0,98034,47.7044,-122.2,2290,9600,0,7160
183,6661200320,2014-07-23,163500.0,2,1.5,1050,3419,2.0,0.0,0.0,3,7,1050,1996,0,98038,47.3848,-122.039,1050,3417,0,2369
184,11510310,2014-09-05,835000.0,4,2.75,3130,13412,2.0,0.0,0.0,3,9,2140,1993,0,98052,47.6993,-122.102,2260,9984,990,10282
186,8731951370,2015-04-15,269000.0,4,1.75,1490,10000,1.0,0.0,0.0,4,8,1100,1969,0,98023,47.3099,-122.37899999999999,2190,8910,390,8510
187,1954440060,2014-05-05,560000.0,3,2.5,1900,8744,2.0,0.0,0.0,3,8,1900,1987,0,98074,47.62,-122.04299999999999,2030,8744,0,6844
188,2264500350,2015-04-18,615000.0,4,1.0,1330,2400,1.5,0.0,0.0,4,6,1330,1901,0,98103,47.65,-122.34,1330,4400,0,1070
189,1115810060,2014-12-05,585188.0,3,2.25,2230,10026,1.0,0.0,0.0,3,8,1430,1975,0,98052,47.6647,-122.15299999999999,2230,9340,800,7796
190,9477200200,2014-08-18,305000.0,3,1.75,1650,9480,1.0,0.0,0.0,3,7,1220,1977,0,98034,47.726000000000006,-122.191,1540,8400,430,7830
191,1432600560,2014-11-05,166950.0,3,1.0,1190,8820,1.0,0.0,0.0,3,6,1190,1959,0,98058,47.4616,-122.184,1230,7980,0,7630
192,2287000060,2014-09-12,799000.0,3,2.5,2140,9897,1.0,0.0,0.0,4,8,2140,1959,0,98040,47.5505,-122.219,2680,10083,0,7757
193,3663500060,2014-06-25,400000.0,3,2.5,2180,7508,1.0,0.0,0.0,4,7,1420,1962,0,98133,47.7606,-122.336,1900,7818,760,5328
194,3996900125,2014-12-01,230000.0,3,1.0,1060,10228,1.0,0.0,0.0,3,7,1060,1948,0,98155,47.7481,-122.3,1570,10228,0,9168
195,7796450200,2014-05-15,256883.0,3,2.5,1690,5025,2.0,0.0,0.0,3,8,1690,2003,0,98023,47.2779,-122.34700000000001,2550,5001,0,3335
196,7549802535,2014-11-11,423000.0,4,2.0,1970,6480,1.5,0.0,0.0,5,7,1130,1920,0,98108,47.5511,-122.31200000000001,1500,6480,840,4510
197,3278600320,2014-07-23,465000.0,3,2.5,2150,4084,2.0,0.0,0.0,3,8,2150,2007,0,98126,47.5488,-122.37200000000001,1750,2385,0,1934
200,3542300060,2015-03-11,210000.0,3,1.0,860,11725,1.0,0.0,0.0,4,6,860,1943,0,98056,47.5093,-122.184,1300,9514,0,10865
201,2222059065,2014-11-12,297000.0,3,2.5,1940,14952,2.0,0.0,0.0,3,8,1940,1994,0,98042,47.3777,-122.165,2030,10450,0,13012
202,7551300060,2014-07-16,470000.0,3,1.0,1010,5000,1.0,0.0,0.0,3,7,1010,1952,0,98107,47.675,-122.39399999999999,1680,5000,0,3990
